eventid	hhnum	pnum	date	placetype	placedist_s	totalpaid	breakfast	lunch	dinner_supper	snack_drink	desc
63198	100214	1	6/30/2012 12:00:00 AM	402		1.99	0	0	0	1	Unknown
69123	101187	3	12/5/2012 12:00:00 AM	402			1	0	0	0	Unknown
69124	101187	3	12/6/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
69126	101187	4	12/5/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
57499	101323	10	8/14/2012 12:00:00 AM	402		0	0	0	0	0	Unknown
62570	102167	1	6/11/2012 12:00:00 AM	402		51	0	1	0	0	Unknown
7996	102269	2	5/14/2012 12:00:00 AM	402		0.6	0	0	0	0	Unknown
52823	102862	1	10/3/2012 12:00:00 AM	402			0	0	0	0	Unknown
70417	103023	2	12/14/2012 12:00:00 AM	402			0	0	0	0	Unknown
69209	103338	4	10/13/2012 12:00:00 AM	402			0	1	0	0	Unknown
65887	103848	4	12/11/2012 12:00:00 AM	402		4	0	1	0	0	Unknown
60280	104180	2	7/18/2012 12:00:00 AM	402		50	0	0	1	0	Unknown
68873	104310	1	10/20/2012 12:00:00 AM	402		270	0	0	1	0	Unknown
63620	104609	1	8/26/2012 12:00:00 AM	402		7.43	0	1	0	0	Unknown
63832	104921	4	10/5/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
65888	105441	1	11/29/2012 12:00:00 AM	402		6.35	0	0	1	0	Unknown
65384	106184	3	8/24/2012 12:00:00 AM	402		0	0	0	0	0	Unknown
64123	106415	1	8/23/2012 12:00:00 AM	402		2	0	0	0	1	Unknown
16524	107701	1	6/25/2012 12:00:00 AM	402		0	0	0	1	0	Unknown
70602	107769	1	12/18/2012 12:00:00 AM	402		3	0	0	0	0	Unknown
62864	108011	1	8/24/2012 12:00:00 AM	402			0	1	0	0	Unknown
65877	108309	1	12/17/2012 12:00:00 AM	402		2.18	0	0	0	0	Unknown
61183	108572	1	6/27/2012 12:00:00 AM	402		2.5	1	0	0	0	Unknown
55574	108774	5	9/17/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55576	108774	5	9/18/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55577	108774	5	9/18/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55579	108774	5	9/19/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55580	108774	5	9/19/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55583	108774	5	9/20/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55186	109041	1	9/21/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
67352	109258	2	10/17/2012 12:00:00 AM	402		10	0	0	1	0	Unknown
67353	109258	2	10/18/2012 12:00:00 AM	402		5	0	0	1	0	Unknown
61987	109272	6	8/17/2012 12:00:00 AM	402		0	1	1	0	0	Unknown
71203	109346	6	6/22/2012 12:00:00 AM	402		0	0	0	0	0	Unknown
62704	109493	1	6/4/2012 12:00:00 AM	402			0	1	0	0	Unknown
62705	109493	1	6/4/2012 12:00:00 AM	402		0	0	0	1	0	Unknown
61260	109883	3	8/13/2012 12:00:00 AM	402		4.5	0	0	0	1	Unknown
68252	110746	1	11/22/2012 12:00:00 AM	402		16.03	0	0	0	0	Unknown
70193	110801	1	8/16/2012 12:00:00 AM	402		1.5	0	0	0	1	Unknown
63141	111429	4	8/22/2012 12:00:00 AM	402		5.5	0	1	0	0	Unknown
69823	111496	2	11/14/2012 12:00:00 AM	402			1	1	0	0	Unknown
69828	111496	2	11/15/2012 12:00:00 AM	402		0	1	1	0	0	Unknown
55073	111745	9	10/3/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55075	111745	9	10/4/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55076	111745	9	10/4/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55080	111745	9	10/5/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55081	111745	9	10/5/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55084	111745	9	10/8/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55086	111745	9	10/9/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
55091	111745	8	10/5/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
55092	111745	8	10/8/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
69406	111923	5	9/16/2012 12:00:00 AM	402		4.58	0	0	1	0	Unknown
70148	111974	1	8/30/2012 12:00:00 AM	402		7	0	1	0	0	Unknown
70149	111974	1	8/30/2012 12:00:00 AM	402		180.73	0	0	1	0	Unknown
70152	111974	1	8/31/2012 12:00:00 AM	402		53.65	0	0	1	0	Unknown
70154	111974	1	8/31/2012 12:00:00 AM	402		12.72	0	1	0	0	Unknown
70155	111974	1	9/2/2012 12:00:00 AM	402		25.71	0	0	1	0	Unknown
60992	112058	3	6/28/2012 12:00:00 AM	402		10.68	0	1	0	0	Unknown
68320	112526	4	11/12/2012 12:00:00 AM	402			0	0	0	0	Unknown
68561	112826	1	8/14/2012 12:00:00 AM	402		11.35	0	0	0	0	Unknown
52752	112917	1	9/23/2012 12:00:00 AM	402		0	0	0	1	0	Unknown
69250	113226	3	9/23/2012 12:00:00 AM	402		8.25	0	0	0	1	Unknown
69253	113226	3	9/23/2012 12:00:00 AM	402		4	1	0	0	0	Unknown
67178	113747	1	11/9/2012 12:00:00 AM	402		0	0	0	0	0	Unknown
67179	113747	1	11/12/2012 12:00:00 AM	402		0	0	0	0	1	Unknown
67183	113747	1	11/15/2012 12:00:00 AM	402		0	0	0	0	1	Unknown
69849	113825	4	10/16/2012 12:00:00 AM	402		4.5	1	0	0	0	Unknown
69459	114008	3	9/12/2012 12:00:00 AM	402		0	0	0	0	0	Unknown
65461	114231	4	8/22/2012 12:00:00 AM	402			1	1	0	0	Unknown
63612	114257	1	7/1/2012 12:00:00 AM	402			0	0	1	0	Unknown
68113	115325	3	11/26/2012 12:00:00 AM	402		1.1	1	0	0	0	Unknown
68114	115325	3	11/27/2012 12:00:00 AM	402		1.1	1	0	0	0	Unknown
68115	115325	3	11/28/2012 12:00:00 AM	402		1.1	1	0	0	0	Unknown
68116	115325	3	11/29/2012 12:00:00 AM	402		1.1	1	0	0	0	Unknown
68119	115325	3	12/1/2012 12:00:00 AM	402		1.1	1	0	0	0	Unknown
59175	115521	2	9/7/2012 12:00:00 AM	402		6.84	0	0	0	0	Unknown
57217	115726	2	8/31/2012 12:00:00 AM	402		0.99	0	0	0	0	Unknown
60291	115765	2	8/20/2012 12:00:00 AM	402		0.75	0	0	0	1	Unknown
60292	115765	2	8/21/2012 12:00:00 AM	402		0.75	0	0	0	1	Unknown
57229	115832	3	8/7/2012 12:00:00 AM	402		0	0	0	0	0	Unknown
69445	116009	1	10/22/2012 12:00:00 AM	402			0	0	0	0	Unknown
67748	116427	1	12/9/2012 12:00:00 AM	402		149.4	0	0	0	0	Unknown
67749	116427	1	12/10/2012 12:00:00 AM	402		27.3	0	0	0	0	Unknown
68851	116839	1	10/18/2012 12:00:00 AM	402		73.11	0	0	0	0	Unknown
60402	116853	1	8/10/2012 12:00:00 AM	402		7	0	0	0	1	Unknown
67073	116880	2	11/21/2012 12:00:00 AM	402		6.74	0	0	1	0	Unknown
61714	117168	1	8/7/2012 12:00:00 AM	402			0	0	1	0	Unknown
68202	117345	3	10/26/2012 12:00:00 AM	402		0	1	0	0	0	Unknown
61943	117391	1	7/22/2012 12:00:00 AM	402			0	1	0	0	Unknown
60134	118703	2	7/17/2012 12:00:00 AM	326		0	1	0	0	0	Preschool
59036	118898	1	9/25/2012 12:00:00 AM	402			0	0	0	0	Unknown
69612	119957	1	10/24/2012 12:00:00 AM	402		0	0	0	0	1	Unknown
45099	119989	2	10/11/2012 12:00:00 AM	402		0	0	1	0	0	Unknown
6973	118177	3	5/8/2012 12:00:00 AM	218	3.07961270108736	1	0	0	0	1	Sandwich shop (including deli & salad shops)
32857	103037	1	8/28/2012 12:00:00 AM	211	36.8868046057198	24.14	0	1	0	0	Restaurant, American
32874	103037	3	8/28/2012 12:00:00 AM	211	36.8868046057198	0	0	1	0	0	Restaurant, American
32895	103037	4	8/28/2012 12:00:00 AM	211	36.8868046057198	0	0	1	0	0	Restaurant, American
55355	118091	1	11/25/2012 12:00:00 AM	207	0.48797550341565	17.54	0	0	0	1	Dairy desserts (ice cream, frozen yogurt)
69902	107770	1	10/17/2012 12:00:00 AM	402		2.39	1	0	0	0	Unknown
7113	104791	1	5/9/2012 12:00:00 AM	211	0.4682497413245	39.12	0	0	1	0	Restaurant, American
69311	106934	2	11/15/2012 12:00:00 AM	402		9.23	0	1	0	0	Unknown
31591	119678	1	8/24/2012 12:00:00 AM	207	0.962215339938153	3.79	0	0	0	1	Dairy desserts (ice cream, frozen yogurt)
